order_id,business_id,dasher_id,order_timestamp,order_date,order_month,order_year,order_hour,order_day_of_week,estimated_delivery_min,actual_delivery_min,delivery_delta_min,is_on_time,order_total_usd,delivery_fee_usd,order_status,_is_synthetic
c06b5c46-e0b5-44c2-9e71-bd9cfabde6fc,2954edfc-6aee-4abc-98c8-6cb2420518ba,DASHER_04467,2022-08-17 02:17:00,2022-08-17,2022-08-01,2022,2,Wednesday,35,41.0,6.0,False,41.92,1.2,delivered,True
5d70e9eb-28e0-47a3-9122-191e1b4fc7c2,d38ee1ab-075b-42b8-aa55-b0da6885d7de,DASHER_03436,2023-03-24 10:38:00,2023-03-24,2023-03-01,2023,10,Friday,39,46.0,7.0,False,30.16,2.53,delivered,True
1898a0fa-0ac9-490e-bc40-9e5bca79572b,e51aaedf-fd6c-4f3d-8e96-548230cc26f0,DASHER_01273,2023-07-24 20:00:00,2023-07-24,2023-07-01,2023,20,Monday,35,28.0,-7.0,True,34.01,1.71,delivered,True
21c6bafd-5c01-45d5-9cea-7fa081949b62,a35b7abf-877c-47de-9fb8-4e4f6a5feb7c,DASHER_04392,2024-02-18 07:54:00,2024-02-18,2024-02-01,2024,7,Sunday,48,43.0,-5.0,True,38.27,1.86,delivered,True
0f481eda-b727-4f25-8a58-5b70e85ea279,91f17179-ff9b-459d-a303-de02aa2c9bc2,DASHER_01575,2024-02-15 06:18:00,2024-02-15,2024-02-01,2024,6,Thursday,40,26.0,-14.0,True,27.21,2.59,delivered,True
2c79b6d6-6e43-4b83-9a97-8589d3235b2e,66eee0aa-2503-47bc-a553-ccb1896798de,DASHER_02988,2023-08-16 23:54:00,2023-08-16,2023-08-01,2023,23,Wednesday,32,32.0,0.0,True,35.38,2.13,delivered,True
914bad7e-4ff4-4cdb-a686-1e2cb058481b,9d5835e6-d19e-49f9-b602-d7f5f81ccf29,DASHER_01401,2023-12-29 10:17:00,2023-12-29,2023-12-01,2023,10,Friday,31,14.0,-17.0,True,17.52,4.23,delivered,True
d2ae408d-5e39-4fa2-b2b9-8ab2dbd0fa57,9599c638-49dd-46d8-84f9-8f916ca8ae36,DASHER_00458,2023-07-07 23:40:00,2023-07-07,2023-07-01,2023,23,Friday,33,30.0,-3.0,True,18.72,2.59,delivered,True
6e734428-c9a3-4fef-bf3c-d913fb72e3c6,b1718ddb-5b58-45ea-bdb8-d9f01304f55a,DASHER_02577,2022-03-07 20:25:00,2022-03-07,2022-03-01,2022,20,Monday,34,42.0,8.0,False,32.6,7.18,delivered,True
a3fc0f5c-d6c7-4fcc-b4d9-677665ff683e,9f803fa6-7a21-4d7e-9b7f-c4c638c27b16,DASHER_03509,2024-07-28 08:08:00,2024-07-28,2024-07-01,2024,8,Sunday,44,44.0,0.0,True,47.75,7.27,delivered,True
93a5a6e3-1aaf-47ba-972c-700c4872c315,196a9ddb-ff47-41df-a0e1-0430351e5584,DASHER_01252,2024-03-28 13:08:00,2024-03-28,2024-03-01,2024,13,Thursday,31,31.0,0.0,True,9.99,3.95,delivered,True
ae8a020e-8fb3-40cb-ad6b-3a44c3c471a4,80fa5fc6-09fd-427a-970e-8383d450afc8,DASHER_00094,2022-05-11 14:38:00,2022-05-11,2022-05-01,2022,14,Wednesday,24,38.0,14.0,False,28.05,5.75,delivered,True
f9046399-a140-45d5-b98e-80cf3c8f08e4,6e78b025-22f6-47e3-a972-1c28c691bb32,DASHER_03561,2022-08-23 19:34:00,2022-08-23,2022-08-01,2022,19,Tuesday,35,15.0,-20.0,True,29.16,6.04,delivered,True
afe8158d-4313-4deb-887b-7c40a8958135,759dd5ad-889c-4959-b255-cd76834b8c25,DASHER_04158,2023-06-24 23:48:00,2023-06-24,2023-06-01,2023,23,Saturday,35,46.0,11.0,False,58.35,5.25,delivered,True
