state,primary_cuisine,merchant_count,total_merchants_in_state,market_share_pct,avg_stars,avg_reviews_per_month,avg_checkins,avg_composite_score,total_reviews_in_segment,open_merchant_count,elite_merchant_share,cuisine_rank_in_state
AZ,Burgers,26,220,11.82,3.35,0.0,0.0,,0.0,15.0,0.1538,1
AZ,Italian,26,220,11.82,2.67,0.0,0.0,,0.0,13.0,0.1154,1
AZ,Pizza,24,220,10.91,3.54,0.0,0.0,,0.0,11.0,0.125,3
AZ,Coffee & Tea,23,220,10.45,2.76,0.0,0.0,,0.0,12.0,0.0435,4
AZ,Sushi,23,220,10.45,3.11,0.0,0.0,,0.0,11.0,0.2174,4
AZ,American (New),22,220,10.0,3.05,0.0,0.0,,0.0,15.0,0.1364,6
AZ,Thai,21,220,9.55,3.43,0.0,0.0,,0.0,12.0,0.3333,7
AZ,Seafood,21,220,9.55,3.12,0.0,0.0,,0.0,12.0,0.2857,7
AZ,Chinese,20,220,9.09,3.33,0.0,0.0,,0.0,13.0,0.3,9
AZ,Mexican,14,220,6.36,3.43,0.0,0.0,,0.0,6.0,0.3571,10
CA,American (New),33,204,16.18,3.33,0.0,0.0,,0.0,18.0,0.1818,1
CA,Sushi,24,204,11.76,3.06,0.0,0.0,,0.0,12.0,0.1667,2
CA,Mexican,24,204,11.76,2.58,0.0,0.0,,0.0,13.0,0.125,2
CA,Italian,20,204,9.8,3.05,0.0,0.0,,0.0,9.0,0.25,4
CA,Burgers,19,204,9.31,2.79,0.0,0.0,,0.0,10.0,0.1579,5
CA,Seafood,19,204,9.31,2.76,0.0,0.0,,0.0,8.0,0.1579,5
CA,Thai,18,204,8.82,2.42,0.0,0.0,,0.0,9.0,0.1667,7
CA,Chinese,16,204,7.84,3.78,0.0,0.0,,0.0,8.0,0.1875,8
CA,Pizza,16,204,7.84,2.72,0.0,0.0,,0.0,10.0,0.3125,8
CA,Coffee & Tea,15,204,7.35,2.93,0.0,0.0,,0.0,11.0,0.2667,10
TX,Chinese,25,196,12.76,2.98,0.0,0.0,,0.0,9.0,0.2,1
TX,Mexican,24,196,12.24,3.04,0.0,0.0,,0.0,14.0,0.2917,2
TX,Italian,23,196,11.73,2.98,0.0,0.0,,0.0,11.0,0.2174,3
TX,American (New),22,196,11.22,2.82,0.0,0.0,,0.0,10.0,0.1818,4
TX,Coffee & Tea,22,196,11.22,2.75,0.0,0.0,,0.0,11.0,0.2273,4
TX,Sushi,22,196,11.22,3.41,0.0,0.0,,0.0,14.0,0.1818,4
TX,Burgers,17,196,8.67,3.53,0.0,0.0,,0.0,9.0,0.1176,7
TX,Seafood,16,196,8.16,3.38,0.0,0.0,,0.0,8.0,0.1875,8
TX,Pizza,13,196,6.63,3.31,0.0,0.0,,0.0,6.0,0.1538,9
TX,Thai,12,196,6.12,3.0,0.0,0.0,,0.0,3.0,0.0833,10
OH,Coffee & Tea,29,224,12.95,2.97,0.0,0.0,,0.0,16.0,0.2759,1
OH,Italian,28,224,12.5,3.11,0.0,0.0,,0.0,13.0,0.25,2
OH,Sushi,26,224,11.61,2.52,0.0,0.0,,0.0,10.0,0.2308,3
OH,American (New),24,224,10.71,3.15,0.0,0.0,,0.0,13.0,0.125,4
OH,Chinese,22,224,9.82,2.36,0.0,0.0,,0.0,12.0,0.2273,5
OH,Burgers,21,224,9.38,2.76,0.0,0.0,,0.0,13.0,0.2381,6
OH,Thai,20,224,8.93,2.93,0.0,0.0,,0.0,11.0,0.2,7
OH,Mexican,20,224,8.93,2.88,0.0,0.0,,0.0,11.0,0.25,7
OH,Seafood,18,224,8.04,2.83,0.0,0.0,,0.0,11.0,0.2222,9
OH,Pizza,16,224,7.14,2.63,0.0,0.0,,0.0,7.0,0.3125,10
FL,Sushi,29,195,14.87,2.83,0.0,0.0,,0.0,20.0,0.2069,1
FL,Thai,27,195,13.85,2.96,0.0,0.0,,0.0,14.0,0.2222,2
FL,Pizza,25,195,12.82,3.2,0.0,0.0,,0.0,14.0,0.16,3
FL,Coffee & Tea,21,195,10.77,2.83,0.0,0.0,,0.0,13.0,0.2857,4
FL,Burgers,20,195,10.26,2.88,0.0,0.0,,0.0,7.0,0.1,5
FL,Seafood,18,195,9.23,2.81,0.0,0.0,,0.0,6.0,0.1667,6
FL,Mexican,17,195,8.72,2.82,0.0,0.0,,0.0,10.0,0.2941,7
FL,Italian,16,195,8.21,3.06,0.0,0.0,,0.0,8.0,0.125,8
FL,Chinese,14,195,7.18,2.71,0.0,0.0,,0.0,5.0,0.1429,9
FL,American (New),8,195,4.1,3.5,0.0,0.0,,0.0,6.0,0.25,10
IL,Chinese,29,190,15.26,3.03,0.0,0.0,,0.0,17.0,0.3448,1
IL,American (New),25,190,13.16,2.76,0.0,0.0,,0.0,12.0,0.16,2
IL,Coffee & Tea,23,190,12.11,3.3,0.0,0.0,,0.0,12.0,0.1739,3
IL,Seafood,19,190,10.0,3.55,0.0,0.0,,0.0,5.0,0.1053,4
IL,Burgers,19,190,10.0,3.39,0.0,0.0,,0.0,12.0,0.1579,4
IL,Italian,17,190,8.95,3.38,0.0,0.0,,0.0,8.0,0.3529,6
IL,Sushi,15,190,7.89,2.97,0.0,0.0,,0.0,6.0,0.1333,7
IL,Pizza,15,190,7.89,3.63,0.0,0.0,,0.0,7.0,0.2,7
IL,Mexican,15,190,7.89,3.47,0.0,0.0,,0.0,6.0,0.2,7
IL,Thai,13,190,6.84,3.23,0.0,0.0,,0.0,8.0,0.2308,10
CO,Seafood,26,190,13.68,2.71,0.0,0.0,,0.0,20.0,0.2692,1
CO,Sushi,23,190,12.11,2.85,0.0,0.0,,0.0,13.0,0.2174,2
CO,Thai,22,190,11.58,2.95,0.0,0.0,,0.0,9.0,0.0909,3
CO,Chinese,22,190,11.58,3.2,0.0,0.0,,0.0,13.0,0.1364,3
CO,Coffee & Tea,19,190,10.0,2.82,0.0,0.0,,0.0,11.0,0.1579,5
CO,Italian,19,190,10.0,2.76,0.0,0.0,,0.0,9.0,0.3158,5
CO,Burgers,18,190,9.47,2.53,0.0,0.0,,0.0,10.0,0.0556,7
CO,Pizza,18,190,9.47,2.47,0.0,0.0,,0.0,11.0,0.2222,7
CO,Mexican,12,190,6.32,3.04,0.0,0.0,,0.0,8.0,0.25,9
CO,American (New),11,190,5.79,2.86,0.0,0.0,,0.0,5.0,0.2727,10
NY,Burgers,29,205,14.15,3.31,0.0,0.0,,0.0,17.0,0.2414,1
NY,Chinese,28,205,13.66,3.09,0.0,0.0,,0.0,13.0,0.1071,2
NY,Pizza,24,205,11.71,3.48,0.0,0.0,,0.0,11.0,0.25,3
NY,Sushi,23,205,11.22,3.09,0.0,0.0,,0.0,10.0,0.3478,4
NY,Seafood,22,205,10.73,3.64,0.0,0.0,,0.0,7.0,0.2273,5
