cohort_month,cohort_label,months_since_cohort,cohort_size,retained_users,retention_rate_pct
2019-01-01,2019-01,0,41,41,100.0
2019-02-01,2019-02,0,54,54,100.0
2019-03-01,2019-03,0,52,52,100.0
2019-04-01,2019-04,0,53,53,100.0
2019-05-01,2019-05,0,49,49,100.0
2019-06-01,2019-06,0,40,40,100.0
2019-07-01,2019-07,0,55,55,100.0
2019-08-01,2019-08,0,58,58,100.0
2019-09-01,2019-09,0,48,48,100.0
2019-10-01,2019-10,0,54,54,100.0
2019-11-01,2019-11,0,40,40,100.0
2019-12-01,2019-12,0,53,53,100.0
2020-01-01,2020-01,0,62,62,100.0
2020-02-01,2020-02,0,49,49,100.0
2020-03-01,2020-03,0,50,50,100.0
2020-04-01,2020-04,0,36,36,100.0
2020-05-01,2020-05,0,53,53,100.0
2020-06-01,2020-06,0,44,44,100.0
2020-07-01,2020-07,0,51,51,100.0
2020-08-01,2020-08,0,42,42,100.0
2020-09-01,2020-09,0,41,41,100.0
2020-10-01,2020-10,0,49,49,100.0
2020-11-01,2020-11,0,50,50,100.0
2020-12-01,2020-12,0,47,47,100.0
2021-01-01,2021-01,0,49,49,100.0
2021-02-01,2021-02,0,69,69,100.0
2021-03-01,2021-03,0,51,51,100.0
2021-04-01,2021-04,0,47,47,100.0
2021-05-01,2021-05,0,57,57,100.0
2021-06-01,2021-06,0,48,48,100.0
2021-07-01,2021-07,0,56,56,100.0
2021-08-01,2021-08,0,45,45,100.0
2021-09-01,2021-09,0,61,61,100.0
2021-10-01,2021-10,0,55,55,100.0
2021-11-01,2021-11,0,42,42,100.0
2021-12-01,2021-12,0,52,52,100.0
2022-01-01,2022-01,0,50,50,100.0
2022-02-01,2022-02,0,50,50,100.0
2022-03-01,2022-03,0,62,62,100.0
2022-04-01,2022-04,0,40,40,100.0
2022-05-01,2022-05,0,54,54,100.0
2022-06-01,2022-06,0,48,48,100.0
2022-07-01,2022-07,0,55,55,100.0
2022-08-01,2022-08,0,54,54,100.0
2022-09-01,2022-09,0,37,37,100.0
2022-10-01,2022-10,0,49,49,100.0
2022-11-01,2022-11,0,43,43,100.0
2022-12-01,2022-12,0,60,60,100.0
2023-01-01,2023-01,0,52,52,100.0
2023-02-01,2023-02,0,41,41,100.0
2023-03-01,2023-03,0,51,51,100.0
2023-04-01,2023-04,0,59,59,100.0
2023-05-01,2023-05,0,42,42,100.0
2023-06-01,2023-06,0,56,56,100.0
2023-07-01,2023-07,0,58,58,100.0
2023-08-01,2023-08,0,53,53,100.0
2023-09-01,2023-09,0,50,50,100.0
2023-10-01,2023-10,0,57,57,100.0
2023-11-01,2023-11,0,61,61,100.0
2023-12-01,2023-12,0,15,15,100.0
